id,label,text
36,SPAM,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 
37,SPAM,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
38,HAM,I sent lanre fakeye's Eckankar details to the mail box
39,SPAM,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
40,HAM,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.
41,SPAM,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
42,HAM,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
43,HAM,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
44,SPAM,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply."
45,SPAM,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
46,HAM,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
47,SPAM,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop"
48,HAM,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
49,HAM,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas..."
50,SPAM,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
51,HAM,Ok how you dear. Did you call chechi
52,HAM,Hmm thinking lor...
53,HAM,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
54,HAM,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
55,HAM,Can u look 4 me in da lib i got stuff havent finish yet.
56,SPAM,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
57,SPAM,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
58,HAM,My exam is for february 4. Wish you a great day.
59,SPAM,ringtoneking 84484
60,SPAM,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921"
61,SPAM,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345
62,HAM,Realy sorry-i don't recognise this number and am now confused :) who r u please?! 
63,SPAM,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm
64,HAM,Thanks chikku..:-) gud nyt:-*
65,HAM,Are you still getting the goods.
66,SPAM,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
67,SPAM,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
68,SPAM,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
69,SPAM,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
70,HAM,What is the plural of the noun research?
71,SPAM,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
72,SPAM,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
73,SPAM,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
74,HAM,"Not for possession, especially not first offense"
75,HAM,Aight sorry I take ten years to shower. What's the plan?
76,HAM,At home by the way
77,HAM,"Uh, heads up we don't have THAT much left"
78,HAM,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
79,SPAM,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
80,SPAM,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
81,HAM,"Aight fuck it, I'll get it later"
82,HAM,Ok lor... But buy wat?
83,HAM,"Me also da, i feel yesterday night  wait til 2day night dear."
84,HAM,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
85,HAM,"Are you sure you don't mean ""get here, we made you hold all the weed"""
86,HAM,Where can download clear movies. Dvd copies.
87,HAM,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
88,SPAM,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
89,SPAM,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
90,SPAM,100 dating service cal;l 09064012103 box334sk38ch
91,HAM,Are you the cutest girl in the world or what
92,SPAM,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
93,SPAM,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
94,SPAM,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
95,HAM,Oh k. . I will come tomorrow
96,HAM,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
97,SPAM,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
98,SPAM,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
99,HAM,What you doing?how are you?
100,HAM,Got it. Seventeen pounds for seven hundred ml – hope ok.
101,HAM,"Probably gonna be here for a while, see you later tonight &lt;)"
102,HAM,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
103,HAM,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
104,HAM,"Goodmorning, today i am late for 2hrs. Because of back pain."
105,SPAM,"Latest News! Police station toilet stolen, cops have nothing to go on!"
106,HAM,Same as kallis dismissial in 2nd test:-).
107,SPAM,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
108,HAM,Great! How is the office today?
109,HAM,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
110,SPAM,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
111,SPAM,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
112,SPAM,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
113,HAM,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
114,SPAM,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
115,HAM,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
116,HAM,Ding me on ya break fassyole! Blacko from londn
117,HAM,"Tonight? Yeah, I'd be down for that"
118,SPAM,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
119,SPAM,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
120,SPAM,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
121,HAM,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
122,HAM,"I'm back, lemme know when you're ready"
123,SPAM,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
124,SPAM,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
125,SPAM,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
126,SPAM,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386 
127,SPAM,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
128,SPAM,"URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
129,SPAM,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
130,HAM,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
131,HAM,Somebody should go to andros and steal ice
132,HAM,Happy birthday to you....dear.with lots of love.rakhesh NRI
133,SPAM,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
134,SPAM,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
135,SPAM,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
136,SPAM,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app 
137,SPAM,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
138,HAM,Yes baby! We can study all the positions of the kama sutra ;)
139,SPAM,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
140,SPAM,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
141,SPAM,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply."
142,SPAM,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
143,SPAM,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
144,HAM,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.
145,HAM,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
146,HAM,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL"
147,SPAM,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
148,SPAM,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more
149,SPAM,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !"
150,SPAM,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
151,HAM,"I'm home, my love ... If your still awake ... *loving kiss*"
152,HAM,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
153,SPAM,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
154,SPAM,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS"
155,SPAM,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
156,HAM,Love you aathi..love u lot..
157,SPAM,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
158,HAM,Ü log off 4 wat. It's sdryb8i
159,HAM,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
160,HAM,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
161,SPAM,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
162,HAM,Good evening! How are you?
163,SPAM,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
164,HAM,No da..today also i forgot..
165,SPAM,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
166,SPAM,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
167,HAM,My sister going to earn more than me da.
168,HAM,Mathews or tait or edwards or anderson
169,HAM,See the forwarding message for proof
170,HAM,Moji i love you more than words. Have a rich day
171,HAM,Hello- thanx for taking that call. I got a job! Starts on monday!
172,SPAM,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd
173,SPAM,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
174,HAM,Huh but i cant go 2 ur house empty handed right?
175,HAM,Thank god they are in bed!
176,SPAM,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
177,HAM,"It‘s £6 to get in, is that ok?"
178,HAM,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. "
179,SPAM,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
180,HAM,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
181,HAM,on hen night. Going with a swing
182,SPAM,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
183,HAM,I think that tantrum's finished so yeah I'll be by at some point
184,HAM,Me too baby! I promise to treat you well! I bet you will take good care of me...
185,SPAM,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
186,HAM,Hows the pain dear?y r u smiling?
187,SPAM,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
188,SPAM,Please CALL 08712402578 immediately as there is an urgent message waiting for you
189,SPAM,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
190,SPAM,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
191,SPAM,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
192,SPAM,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy "
193,SPAM,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
194,HAM,26th OF JULY
195,HAM,"Probably not, I'm almost out of gas and I get some cash tomorrow"
196,HAM,"Nope, I'm still in the market"
197,SPAM,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
198,HAM,Ya just telling abt tht incident..
199,HAM,Bring home some Wendy =D
200,SPAM,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
201,SPAM,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
202,SPAM,"449050000301 You have won a £2,000 price! To claim, call 09050000301."
203,SPAM,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
204,SPAM,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
205,HAM,You still around? I could use a half-8th
206,HAM,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
207,SPAM,For sale - arsenal dartboard. Good condition but no doubles or trebles!
208,HAM,Minimum walk is 3miles a day.
209,SPAM,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
210,SPAM,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
211,HAM,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …"
212,SPAM,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
213,SPAM,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
214,HAM,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different
215,HAM,And popping &lt;#&gt; ibuprofens was no help.
216,HAM,He is a womdarfull actor
217,HAM,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn"
218,HAM,Should I have picked up a receipt or something earlier
219,SPAM,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
220,SPAM,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
221,HAM,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
222,HAM,Hahaha..use your brain dear
223,SPAM,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
224,HAM,"Whatever, juliana. Do whatever you want."
225,SPAM,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
226,HAM,Yunny i'm walking in citylink now ü faster come down... Me very hungry...
227,SPAM,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
228,SPAM,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
229,HAM,Just send a text. We'll skype later.
230,HAM,Tiwary to rcb.battle between bang and kochi.
231,HAM,Hello madam how are you ?
232,HAM,I'm on the bus. Love you
233,SPAM,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP
234,SPAM,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
235,HAM,Even my brother is not like to speak with me. They treat me like aids patent.
236,HAM,You know what hook up means right?
237,SPAM,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill
238,HAM,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U"""
239,SPAM,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
240,SPAM,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
241,HAM,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
242,SPAM,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
243,HAM,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
244,HAM,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
245,HAM,Ok..
246,HAM,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
247,SPAM,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
248,HAM,Then u drive lor.
249,SPAM,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
250,HAM,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
251,HAM,Where is it. Is there any opening for mca.
252,SPAM,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p
253,SPAM,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
254,SPAM,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
255,HAM,Shall i come to get pickle
256,SPAM,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
257,SPAM,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP"
258,SPAM,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
259,SPAM,FreeMsg>FAV XMAS TONES!Reply REAL
260,HAM,10 min later k...
261,HAM,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
262,HAM,Oh you got many responsibilities.
263,HAM,Jos ask if u wana meet up?
264,HAM,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
265,HAM,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
266,SPAM,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
