id,input,output,error_category
52,"He is the most cleverest boy I know.","He is the cleverest boy I know.","Double Superlative"
53,"The reason why he left is a mystery.","The reason he left is a mystery.","Redundancy: Reason why"
54,"I have been living here since five years.","I have been living here for five years.","Preposition: Time"
55,"She is more smarter than her sister.","She is smarter than her sister.","Double Comparative"
56,"I look forward to see you next week.","I look forward to seeing you next week.","Verb Pattern: Gerund"
57,"He don't like to play football no more.","He doesn't like to play football anymore.","Double Negative/SVA"
58,"The police is investigating the crime.","The police are investigating the crime.","Collective Noun SVA"
59,"I am not agree with your statement.","I do not agree with your statement.","Verb Phrase: Agree"
60,"He works hardly to finish the project.","He works hard to finish the project.","Adverb: Hard/Hardly"
61,"The table is made by wood.","The table is made of wood.","Preposition: Material"
62,"I have finished my work an hour ago.","I finished my work an hour ago.","Tense: Past Simple/Perfect"
63,"She is one of the girl who won.","She is one of the girls who won.","Noun: Number"
64,"If I was you, I would take the job.","If I were you, I would take the job.","Subjunctive: Conditional"
65,"The news were very shocking to everyone.","The news was very shocking to everyone.","Uncountable SVA"
66,"He explained me the whole situation.","He explained the whole situation to me.","Indirect Object Pattern"
67,"I am thinking to buy a new car.","I am thinking of buying a new car.","Verb Pattern: Gerund"
68,"How long it takes to reach there?","How long does it take to reach there?","Question Structure"
69,"She is the most prettiest girl here.","She is the prettiest girl here.","Double Superlative"
70,"He denied to have stolen the money.","He denied having stolen the money.","Verb Pattern: Gerund"
71,"I wish I have a bigger house.","I wish I had a bigger house.","Subjunctive: Wish"
72,"He had better to stay at home today.","He had better stay at home today.","Modal Pattern"
73,"The most of people like ice cream.","Most people like ice cream.","Determiner Redundancy"
74,"Neither of the two books are good.","Neither of the two books is good.","Distributive SVA"
75,"I have seen her yesteday morning.","I saw her yesterday morning.","Tense: Past Simple"
76,"The water is too much hot to drink.","The water is too hot to drink.","Quantifier Redundancy"
77,"Suppose if you win, what will you do?","Suppose you win, what will you do?","Redundancy: Suppose/If"
78,"He is good in playing chess.","He is good at playing chess.","Preposition: Skill"
79,"I am used to get up early.","I am used to getting up early.","Verb Pattern: Used to"
80,"The man whom I met him is a doctor.","The man I met is a doctor.","Relative Redundancy"
81,"She speaks English very good.","She speaks English very well.","Adjective/Adverb"
82,"I am having a lot of works to do.","I have a lot of work to do.","Uncountable Noun"
83,"He is taller than me am.","He is taller than I am.","Case/Comparative"
84,"The house is belonging to my uncle.","The house belongs to my uncle.","Stative Verb"
85,"I didn't saw the movie yet.","I haven't seen the movie yet.","Tense: Present Perfect"
86,"He is more stronger than his friend.","He is stronger than his friend.","Double Comparative"
87,"Everyone have their own problems.","Everyone has their own problems.","Indefinite Pronoun SVA"
88,"I have been knowing him for years.","I have known him for years.","Stative Verb: Tense"
89,"She is the most unique person I know.","She is the most unique person I know.","Baseline: Non-gradable"
90,"He is enough old to drive a car.","He is old enough to drive a car.","Adverb Order"
91,"I prefer swimming than running.","I prefer swimming to running.","Preposition: Preference"
92,"The scissors are missing from the drawer.","The scissors are missing from the drawer.","Baseline: Plural Noun"
93,"He told to me that he was tired.","He told me that he was tired.","Verb Pattern: Tell"
94,"I look forward to meet you.","I look forward to meeting you.","Verb Pattern: Gerund"
95,"He don't has any money left.","He doesn't have any money left.","SVA/Auxiliary"
96,"The informations are very useful.","The information is very useful.","Uncountable SVA"
97,"I am waiting for you since an hour.","I have been waiting for you for an hour.","Tense: Duration"
98,"She is more clever than her brother.","She is cleverer than her brother.","Comparative Suffix"
99,"He is the man which stole my bag.","He is the man who stole my bag.","Relative Pronoun"
100,"I haven't seen him for ages.","I haven't seen him for ages.","Baseline: Perfect Tense"
101,"They reached to the station late.","They reached the station late.","Preposition Redundancy"
102,"He is married with a doctor.","He is married to a doctor.","Preposition: Relationship"
103,"I am very much interested in music.","I am very interested in music.","Quantifier Redundancy"
104,"The film was so boring that I fell asleep.","The film was so boring that I fell asleep.","Baseline: Adverb"
105,"He does not have many luggages.","He does not have much luggage.","Uncountable Noun"
106,"I saw a dream last night.","I had a dream last night.","Collocation"
107,"He is senior than me in the office.","He is senior to me in the office.","Comparative Preposition"
108,"The sun rises in the east.","The sun rises in the east.","Baseline: General Truth"
109,"She is one of the best student.","She is one of the best students.","Noun: Number"
110,"I can't cope up with the pressure.","I can't cope with the pressure.","Phrasal Verb: Redundancy"
111,"He is addicted to smoke.","He is addicted to smoking.","Verb Pattern: Gerund"
112,"The ship was drownded in the sea.","The ship sank in the sea.","Vocabulary: Drown/Sink"
113,"I have a news for you.","I have news for you.","Article: Uncountable"
114,"He is a honest man.","He is an honest man.","Article: Phonetic"
115,"I am working here since 2010.","I have been working here since 2010.","Tense: Duration"
116,"The flowers smell sweetly.","The flowers smell sweet.","Stative Verb: Adjective"
117,"He is more taller than his brother.","He is taller than his brother.","Double Comparative"
118,"Neither of the plans was successful.","Neither of the plans was successful.","Baseline: Distributive SVA"
119,"I am thinking to go to London.","I am thinking of going to London.","Verb Pattern: Gerund"
120,"She suggested to go for a walk.","She suggested going for a walk.","Verb Pattern: Suggest"
121,"The scenerys of the hills are beautiful.","The scenery of the hills is beautiful.","Uncountable SVA"
122,"He is a man of his words.","He is a man of his word.","Idiomatic Expression"
123,"I will return the book after two days.","I will return the book in two days.","Preposition: Future Time"
124,"He has been ill for last week.","He has been ill since last week.","Preposition: Point in time"
125,"I don't know who is he.","I don't know who he is.","Indirect Question Order"
126,"She is the most intelligentest girl.","She is the most intelligent girl.","Double Superlative"
127,"He entered into the room quietly.","He entered the room quietly.","Preposition Redundancy"
128,"I have many works to finish today.","I have much work to finish today.","Uncountable Noun"
129,"He is more better today.","He is better today.","Double Comparative"
130,"I haven't seen him since a long time.","I haven't seen him for a long time.","Preposition: Duration"
131,"The death of the king was a big shock.","The death of the king was a big shock.","Baseline: Noun Phrase"
132,"He does not know to swim.","He does not know how to swim.","Infinitive Pattern"
133,"I am afraid from spiders.","I am afraid of spiders.","Preposition: Fear"
134,"She is good in English.","She is good at English.","Preposition: Skill"
135,"He has a lot of furnitures.","He has a lot of furniture.","Uncountable Noun"
136,"I am look forward to meeting you.","I am looking forward to meeting you.","Aspect: Continuous"
137,"He don't like coffee.","He doesn't like coffee.","SVA: Third Person"
138,"The jury were divided in their opinion.","The jury were divided in their opinion.","Baseline: Collective Noun (Plural intent)"
139,"I have been writing this book for a year.","I have been writing this book for a year.","Baseline: Continuous Perfect"
140,"He is suffering from fever.","He is suffering from fever.","Baseline: Idiom"
141,"She is the taller of the two.","She is the taller of the two.","Baseline: Comparative for two"
142,"He is one of the most famous man.","He is one of the most famous men.","Noun: Number"
143,"I saw him to go there.","I saw him go there.","Verb Pattern: Bare Infinitive"
144,"He made me to do it.","He made me do it.","Causative Pattern"
145,"I would rather to stay here.","I would rather stay here.","Modal Pattern"
146,"He is too weak for walking.","He is too weak to walk.","Infinitive of Result"
147,"I am very tired for working.","I am very tired from working.","Preposition: Cause"
148,"She is married to a rich man.","She is married to a rich man.","Baseline: Preposition"
149,"He is younger than me.","He is younger than I am.","Case/Comparative"
150,"I am busy in doing my work.","I am busy doing my work.","Preposition Redundancy"
151,"He is a member in our club.","He is a member of our club.","Preposition: Belonging"
152,"I have a great deal of works.","I have a great deal of work.","Uncountable Noun"
153,"He is taller than any boy in the class.","He is taller than any other boy in the class.","Comparative Exclusion"
154,"I don't like these kind of things.","I don't like this kind of thing.","Noun/Determiner Agreement"
155,"He has finished his lunch just now.","He has finished his lunch just now.","Baseline: Tense"
156,"I will meet you on next Monday.","I will meet you next Monday.","Preposition Redundancy"
157,"He is coming on this evening.","He is coming this evening.","Preposition Redundancy"
158,"I have been waiting here since an hour.","I have been waiting here for an hour.","Preposition: Duration"
159,"He died from cancer.","He died of cancer.","Preposition: Cause of Death"
160,"I am not used to the cold weather.","I am not used to the cold weather.","Baseline: Used to"
161,"The house's roof is leaking.","The roof of the house is leaking.","Inanimate Possessive"
162,"He is more cleverer than his brother.","He is cleverer than his brother.","Double Comparative"
163,"I have a ten years old son.","I have a ten-year-old son.","Compound Adjective"
164,"He is a man of his words.","He is a man of his word.","Idiomatic Accuracy"
165,"I am very interested to this book.","I am very interested in this book.","Preposition: Interest"
166,"He is good in playing guitar.","He is good at playing guitar.","Preposition: Skill"
167,"I haven't seen him since ages.","I haven't seen him for ages.","Preposition: Duration"
168,"She is the most tallest girl in class.","She is the tallest girl in class.","Double Superlative"
169,"He has no any money.","He has no money.","Redundancy: Any"
170,"I am sorry for the delay.","I am sorry for the delay.","Baseline: Adjective"
171,"He is addicted to gambling.","He is addicted to gambling.","Baseline: Gerund"
172,"I am tired with this work.","I am tired of this work.","Preposition: Fatigue"
173,"He is senior than me.","He is senior to me.","Comparative Preposition"
174,"I have seen the movie yesterday.","I saw the movie yesterday.","Tense: Past Simple"
175,"She is more smarter than him.","She is smarter than he is.","Double Comparative/Case"
176,"He don't care about anything.","He doesn't care about anything.","SVA: Third Person"
177,"I am look forward to see you.","I am looking forward to seeing you.","Verb Pattern: Gerund"
178,"The jury has given its verdict.","The jury has given its verdict.","Baseline: Collective Noun"
179,"He is married with my sister.","He is married to my sister.","Preposition: Relationship"
180,"I am used to living in a city.","I am used to living in a city.","Baseline: Used to"
181,"He is more stronger than me.","He is stronger than I am.","Double Comparative/Case"
182,"I have been working here for 2010.","I have been working here since 2010.","Preposition: Point in time"
183,"The scissor is on the table.","The scissors are on the table.","SVA: Plural Noun"
184,"I have a lot of furnitures in my room.","I have a lot of furniture in my room.","Uncountable Noun"
185,"He is one of those who never tells a lie.","He is one of those who never tell a lie.","SVA: Relative Clause"
186,"The news is very good today.","The news is very good today.","Baseline: Uncountable"
187,"I am thinking to quit my job.","I am thinking of quitting my job.","Verb Pattern: Gerund"
188,"She suggested us to go for a movie.","She suggested that we go for a movie.","Verb Pattern: Suggest"
189,"He explained me why he was late.","He explained to me why he was late.","Indirect Object Pattern"
190,"The police is coming to the scene.","The police are coming to the scene.","Collective Noun SVA"
191,"I am not agree with you.","I do not agree with you.","Verb Phrase: Agree"
192,"He works hardly for his exams.","He works hard for his exams.","Adverb: Hard/Hardly"
193,"The book is belonging to the library.","The book belongs to the library.","Stative Verb"
194,"I didn't saw him at the party.","I didn't see him at the party.","Tense: Auxiliary"
195,"He is enough strong to lift the box.","He is strong enough to lift the box.","Adverb Order"
196,"I prefer coffee than tea.","I prefer coffee to tea.","Preposition: Preference"
197,"The table is made of wood.","The table is made of wood.","Baseline: Material"
198,"I have finished the work an hour ago.","I finished the work an hour ago.","Tense: Past Simple"
199,"She is one of the girl who won.","She is one of the girls who won.","Noun: Number"
200,"If I was you, I would take the job.","If I were you, I would take the job.","Subjunctive: Conditional"
201,"The news were very shocking.","The news was very shocking.","Uncountable SVA"
202,"He is the most cleverest boy.","He is the cleverest boy.","Double Superlative"
203,"I look forward to meeting you soon.","I look forward to meeting you soon.","Baseline: Gerund"
204,"He don't like playing football.","He doesn't like playing football.","SVA: Third Person"
205,"The informations you gave me were wrong.","The information you gave me was wrong.","Uncountable SVA"
206,"I am waiting for the bus since an hour.","I have been waiting for the bus for an hour.","Tense: Duration"
207,"She is more intelligent than her sister.","She is more intelligent than her sister.","Baseline: Comparative"
208,"He is the man which stole the car.","He is the man who stole the car.","Relative Pronoun"
209,"I haven't seen him for ages.","I haven't seen him for ages.","Baseline: Perfect Tense"
210,"They reached the station late.","They reached the station late.","Baseline: Preposition"
211,"He is senior to me in rank.","He is senior to me in rank.","Baseline: Comparative"
212,"She is one of the best students in the class.","She is one of the best students in the class.","Baseline: Number"
213,"I can't cope with the work.","I can't cope with the work.","Baseline: Phrasal Verb"
214,"He is addicted to smoking.","He is addicted to smoking.","Baseline: Gerund"
215,"I have news for you today.","I have news for you today.","Baseline: Uncountable"
216,"He is an honest person.","He is an honest person.","Baseline: Article"
217,"I have been working here since Monday.","I have been working here since Monday.","Baseline: Duration"
218,"The flowers smell sweet in the morning.","The flowers smell sweet in the morning.","Baseline: Stative"
219,"He is taller than his friend.","He is taller than his friend.","Baseline: Comparative"
220,"Neither of the students was present.","Neither of the students was present.","Baseline: SVA"
221,"I am thinking of going to Paris.","I am thinking of going to Paris.","Baseline: Gerund"
222,"The scenery is beautiful.","The scenery is beautiful.","Baseline: Uncountable"
223,"He is a man of his word.","He is a man of his word.","Baseline: Idiom"
224,"I will return the money in a week.","I will return the money in a week.","Baseline: Time"
225,"I don't know who he is.","I don't know who he is.","Baseline: Indirect Question"
226,"He entered the room quietly.","He entered the room quietly.","Baseline: Preposition"
227,"I have much work to do today.","I have much work to do today.","Baseline: Uncountable"
228,"He is better now.","He is better now.","Baseline: Comparative"
229,"I haven't seen her for a long time.","I haven't seen her for a long time.","Baseline: Duration"
230,"The death of the pilot was a tragedy.","The tragedy of the pilot's death was real.","Baseline: Noun Phrase"
231,"He does not know how to drive.","He does not know how to drive.","Baseline: Infinitive"
232,"I am afraid of snakes.","I am afraid of snakes.","Baseline: Preposition"
233,"She is good at math.","She is good at math.","Baseline: Skill"
234,"He has a lot of furniture.","He has a lot of furniture.","Baseline: Uncountable"
235,"I am looking forward to seeing you.","I am looking forward to seeing you.","Baseline: Aspect"
236,"He doesn't like tea.","He doesn't like tea.","Baseline: SVA"
237,"The jury were unanimous in their decision.","The jury was unanimous in its decision.","Collective Noun SVA (Singular intent)"
238,"He is suffering from a cold.","He is suffering from a cold.","Baseline: Idiom"
239,"She is the taller of the two girls.","She is the taller of the two girls.","Baseline: Comparative"
240,"He is one of the most famous men in history.","He is one of the most famous men in history.","Baseline: Number"
241,"I saw him go out.","I saw him go out.","Baseline: Bare Infinitive"
242,"He made me cry.","He made me cry.","Baseline: Causative"
243,"I would rather stay home.","I would rather stay home.","Baseline: Modal"
244,"He is too old to work.","He is too old to work.","Baseline: Result"
245,"I am tired from the journey.","I am tired from the journey.","Baseline: Cause"
246,"She is married to a scientist.","She is married to a scientist.","Baseline: Relationship"
247,"He is younger than I am.","He is younger than I am.","Baseline: Case"
248,"I am busy doing my homework.","I am busy doing my homework.","Baseline: Pattern"
249,"He is a member of the team.","He is a member of the team.","Baseline: Belonging"
250,"I have much work to finish.","I have much work to finish.","Baseline: Uncountable"
251,"Not only he is late, but he also forgot the files.","Not only is he late, but he also forgot the files.","Inversion: Correlative"
252,"Rarely I have seen such a beautiful sunset.","Rarely have I seen such a beautiful sunset.","Inversion: Negative Adverb"
253,"Walking down the street, the trees were beautiful.","As I was walking down the street, the trees looked beautiful.","Dangling Participle"
254,"Neither the manager nor the employees was happy.","Neither the manager nor the employees were happy.","SVA: Proximity Rule"
255,"Either the players or the coach are responsible.","Either the players or the coach is responsible.","SVA: Proximity Rule"
256,"He acted as if he was the king.","He acted as if he were the king.","Subjunctive: Unreal"
257,"I would like to congratulate you for your success.","I would like to congratulate you on your success.","Preposition: Congratulate"
258,"He is proficient of three languages.","He is proficient in three languages.","Preposition: Skill"
259,"You should comply to the rules of the house.","You should comply with the rules of the house.","Preposition: Comply"
260,"The reason for his failure is because he didn't study.","The reason for his failure is that he didn't study.","Redundancy: Reason/Because"
261,"Hardly I had reached the station when the train left.","Hardly had I reached the station when the train left.","Inversion: Time"
262,"No sooner the sun rose than the birds started singing.","No sooner did the sun rise than the birds started singing.","Inversion: No Sooner"
263,"He is very kind to help us.","He is very kind to help us.","Baseline: Adjective/Infinitive"
264,"I prefer traveling by train than flying.","I prefer traveling by train to flying.","Preposition: Preference"
265,"He is as tall, if not taller than, his brother.","He is as tall as, if not taller than, his brother.","Comparative: Ellipsis"
266,"She is both intelligent as well as hardworking.","She is both intelligent and hardworking.","Correlative Conjunction"
267,"Between you and I, the plan is flawed.","Between you and me, the plan is flawed.","Case: Object of Preposition"
268,"The quality of the oranges were not good.","The quality of the oranges was not good.","SVA: Head Noun"
269,"He has been ill since three days.","He has been ill for three days.","Preposition: Duration"
270,"I am knowing him for a long time.","I have known him for a long time.","Stative Verb: Tense"
271,"She works in a hospital, isn't it?","She works in a hospital, doesn't she?","Question Tag"
272,"He went to the cinema yesterday, didn't he?","He went to the cinema yesterday, didn't he?","Baseline: Question Tag"
273,"I am used to drive in heavy traffic.","I am used to driving in heavy traffic.","Verb Pattern: Used to"
274,"He told that he would come.","He said that he would come.","Verb Choice: Say/Tell"
275,"She is more taller than me.","She is taller than I am.","Double Comparative/Case"
276,"I didn't see nobody there.","I didn't see anybody there.","Double Negative"
277,"The news is true, isn't it?","The news is true, isn't it?","Baseline: Uncountable Tag"
278,"He asked me where did I live.","He asked me where I lived.","Indirect Question"
279,"I wish I was a millionaire.","I wish I were a millionaire.","Subjunctive: Wish"
280,"He is one of the tallest boy in the class.","He is one of the tallest boys in the class.","Noun: Number"
281,"Unless you do not work hard, you will fail.","Unless you work hard, you will fail.","Double Negative: Unless"
282,"Scarcely he had started when it began to rain.","Scarcely had he started when it began to rain.","Inversion: Scarcely"
283,"The climate of India is hotter than Europe.","The climate of India is hotter than that of Europe.","Illogical Comparison"
284,"He is addicted to play video games.","He is addicted to playing video games.","Verb Pattern: Gerund"
285,"I have a lot of work to do.","I have a lot of work to do.","Baseline: Uncountable"
286,"The boy who works hard, he succeeds.","The boy who works hard succeeds.","Redundant Subject"
287,"Neither of the candidates are fit for the job.","Neither of the candidates is fit for the job.","SVA: Distributive"
288,"None of the students have finished the test.","None of the students has finished the test.","SVA: Formal None"
289,"I am looking forward to see you.","I am looking forward to seeing you.","Verb Pattern: Gerund"
290,"He is enough old to marry.","He is old enough to marry.","Adverb Order"
291,"She is very good in cooking.","She is very good at cooking.","Preposition: Skill"
292,"I am thinking to buy a new house.","I am thinking of buying a new house.","Verb Pattern: Gerund"
293,"He explained the problem to me.","He explained the problem to me.","Baseline: Indirect Object"
294,"The furniture in this room are old.","The furniture in this room is old.","Uncountable SVA"
295,"I saw a man with a wooden leg named Smith.","I saw a man named Smith who had a wooden leg.","Misplaced Modifier"
296,"The teacher made the students to write an essay.","The teacher made the students write an essay.","Causative Pattern"
297,"He would rather die than to beg.","He would rather die than beg.","Modal Parallelism"
298,"She is more intelligent than any girl in the class.","She is more intelligent than any other girl in the class.","Comparative Exclusion"
299,"I have been waiting for you since two hours.","I have been waiting for you for two hours.","Preposition: Duration"
300,"He is senior than all his colleagues.","He is senior to all his colleagues.","Comparative Preposition"
