original,ground_truth,generated,t5_base_corrected,coedit_large_corrected,prithivida_corrected,haiku_corrected
"Beside the barbecue , there are some well - known student bands from our country are performing music through the whole night .","Beside the barbecue , there will be some well - known student bands from our country playing music through the whole night .","In the library, there are many old books that they are gathering dust on the shelves.","In the library, there are many old books that are gathering dust on the shelves.","In the library, there are many old books that are gathering dust on the shelves.","In the library, there are many old books that are gathering dust on the shelves.","In the library, there are many old books that are gathering dust on the shelves."
"What 's more is , that there 's a Latin music band coming to make the party more colourful .",What 's more is that there 's a Latin music band coming to make the party more colourful .,"What makes this special is, that the new restaurant serves authentic Thai food.",What makes this special is that the new restaurant serves authentic Thai food.,What makes this special is that the new restaurant serves authentic Thai food.,"What makes this special is, that the new restaurant serves authentic Thai food.",What makes this special is that the new restaurant serves authentic Thai food.
"It plays from 10:00 to 11:00 , while the students can enjoy it with dancing .","It will play from 10:00 to 11:00 , while the students can enjoy it with dancing .","She read from 2:00 to 3:00, while the audience was sitting quietly in the auditorium.","She read from 2:00 to 3:00, while the audience was sitting quietly in the auditorium.",She read from 2:00 to 3:00 while the audience was sitting quietly in the auditorium.,"She read from 2:00 to 3:00, while the audience was sitting quietly in the auditorium.",She read from 2:00 to 3:00 while the audience sat quietly in the auditorium.
The main events of the party will end up at about 12:30 in the night .,The main events of the party will be at about 12:30 in the night .,The conference will take place at about 3:00 in the morning.,The conference will take place at about 3:00 in the morning.,The conference will take place at about 3:00 in the morning.,The conference will take place at about 3:00 in the morning.,The conference will take place at about 3:00 in the morning.
"Finally , in the last afternoon , we could visit the museums , markets ( we have a very interesting robot - market ) .","Finally , on the last afternoon , we could visit the museums and markets ( we have a very interesting robot - market ) .","Tomorrow we should explore the old town, gardens (there is a beautiful rose - garden nearby).","Tomorrow we should explore the old town, gardens (there is a beautiful rose - garden nearby).",Tomorrow we should explore the old town and gardens (there is a beautiful rose garden nearby).,"Tomorrow we should explore the old town, gardens (there is a beautiful rose garden nearby).",Tomorrow we should explore the old town and gardens (there is a beautiful rose garden nearby).
Basically it 's a free time for the students to look round here by themselves .,Basically it 's free time for the students to look round here by themselves .,Basically it's a free period for the employees to relax in the office by themselves.,Basically it's a free period for the employees to relax in the office by themselves.,"Basically, it's a free period for employees to relax in the office by themselves.",Basically it's a free period for the employees to relax in the office by themselves.,"Basically, it's a free period for the employees to relax in the office by themselves."
I hope your questions re answered appropriatly .,I hope your questions have been answered appropriately .,The resturant serves delicious food that is recomended by many critics.,The restaurant serves delicious food that is recommended by many critics.,The restaurant serves delicious food that is commended by many critics.,The restaurant serves delicious food that is recommended by many critics.,The restaurant serves delicious food that is recommended by many critics.
I 'm looking forward to seeing you on the conference .,I 'm looking forward to seeing you at the conference .,She is interested in participating at the upcoming marathon next month.,She is interested in participating in the upcoming marathon next month.,She is interested in participating in the upcoming marathon next month.,She is interested in participating in the upcoming marathon next month.,She is interested in participating in the upcoming marathon next month.
"Now - a - day computer can be found in almost every corner , in offices , in shops .","Nowadays computers can be found in almost every corner , in offices , in shops .","A modern smartphone can be used for communication, entertainment, and productivity in daily life.","A modern smartphone can be used for communication, entertainment, and productivity in daily life.","A modern smartphone can be used for communication, entertainment, and productivity in daily life.","A modern smartphone can be used for communication, entertainment, and productivity in daily life.","A modern smartphone can be used for communication, entertainment, and productivity in daily life."
Or even in cars and washmachines there 're computer chips .,There 're even computer chips in cars and washing machines .,The students in the library they 're studying for their exams.,The students in the library are studying for their exams.,The students in the library. They 're studying for their exams.,The students in the library they're studying for their exams.,The students in the library are studying for their exams.
What has computer affected to our life ?,How have computers affected our life ?,How has technology impacted in our daily routines?,How has technology impacted our daily routines?,How has technology impacted our daily routines?,How has technology impacted our daily routines?,How has technology impacted our daily routines?
"First of all , the efficiency of the society has been improved .","First of all , the efficiency of society has been improved .","First of all, the number of people have increased in the city.","First of all, the number of people have increased in the city.","First of all, the number of people has increased in the city.","First of all, the number of people has increased in the city.","First of all, the number of people has increased in the city."
"When shopping , we do n't need to wait the Kasse to take every article 's note by hand .","When shopping , we do n't need to wait for the cashier to take every article 's note by hand .","During vacation, tourists don't need to hire guide to show them every museum's collection in person.","During vacation, tourists don't need to hire a guide to show them every museum's collection in person.","During vacation, tourists don't need to hire a guide to show them every museum's collection in person.","During vacation, tourists don't need to hire a guide to show them every museum's collection in person.","During vacation, tourists don't need to hire a guide to show them every museum's collection in person."
"When booking a airline , we can just simply make a phone to any agency , and get it done in one minute .","When booking a flight , we can just make a phone call to any agency , and get it done in one minute .","When purchasing a car, customers can just simply send email to any dealer, and receive confirmation in few hours.","When purchasing a car, customers can simply send email to any dealer and receive confirmation in few hours.","When purchasing a car, customers can simply send an email to any dealer and receive confirmation in a few hours.","When purchasing a car, customers can just simply send an email to any dealer, and receive confirmation within few hours.","When purchasing a car, customers can simply send an email to any dealer and receive confirmation in a few hours."
"Secondly , instead of looking up tons of books to get the information what we need , we can very easily search it from internet or on the local network .","Secondly , instead of looking up tons of books to get the information that we need , we can very easily search for it on Internet internet or on the local network .","Instead of reading tons of journals to find the research what we require, we can very easily access it in Google or in academic databases.","Instead of reading tons of journals to find the research we require, we can very easily access it in Google or in academic databases.","Instead of reading tons of journals to find the research we require, we can very easily access it in Google or in academic databases.","Instead of reading tons of journals to find the research we require, we can very easily access it in Google or in academic databases.","Instead of reading tons of journals to find the research we require, we can very easily access it on Google or in academic databases."
"It 's a very often heard , that someone , who has a special illness , gets operations by a foreign institutes , which he find via internet .",It 's very often heard that someone who has a rare illness has had operation operations at a foreign institute which he found via Internet internet .,"It is a common problem that a student, who have multiple assignment, submit their work on a website which they find via email.","It is a common problem that a student, who has multiple assignments, submits their work on a website which they find via email.",It is a common problem that a student who has multiple assignments submits their work on a website which they find via email.,"It is a common problem that a student, who has multiple assignments, submit their work on a website which they find via email.",It is a common problem that a student who has multiple assignments submits their work on a website which they find via email.
"Moreover , with computer network , it can be possible that people work from home , making projects , controling operations or having conferences .","Moreover , with computer networks , it is possible for people to work from home , making projects , controlling operations or having conferences .","Furthermore, with mobile technology, it can be possible that employees communicate with clients, managing deadlines, reviewing documents or attending meetings which requires attention.","Furthermore, with mobile technology, it can be possible that employees communicate with clients, managing deadlines, reviewing documents or attending meetings which require attention.","Furthermore, with mobile technology, it can be possible for employees to communicate with clients, manage deadlines, review documents, or attend meetings which require attention.","Furthermore, with mobile technology, it is possible that employees communicate with clients, managing deadlines, reviewing documents or attending meetings which require attention.","Furthermore, with mobile technology, employees can communicate with clients, manage deadlines, review documents, and attend meetings that require attention."
Lastly the way of communications has been also changed .,Lastly the way of communications has also changed .,"Finally, the development of transportation has been also transformed by innovations in engineering.","Finally, the development of transportation has been also transformed by innovations in engineering.","Finally, the development of transportation has also been transformed by innovations in engineering.","Finally, the development of transportation has been also transformed by innovations in engineering.","Finally, the development of transportation has been transformed by innovations in engineering."
"Instead of the tranditional telecommunication , we can talk , mail or even see each other with the help of computer network .","Instead of traditional telecommunications , we can talk by , e - mail or even see each other with the help of a computer network .",The resturant offers a variety of delicious dishes from different cuisines around the world.,The restaurant offers a variety of delicious dishes from different cuisines around the world.,The restaurant offers a variety of delicious dishes from different cuisines around the world.,The restaurant offers a variety of delicious dishes from different cuisines around the world.,The restaurant offers a variety of delicious dishes from different cuisines around the world.
Of course there 're also some aspects in which the computer technology need to be improved .,Of course there 're also some aspects in which computer technology needs to be improved .,The group of students are planning to attend the conference next month.,The group of students are planning to attend the conference next month.,The group of students is planning to attend the conference next month.,The group of students are planning to attend the conference next month.,The group of students is planning to attend the conference next month.
"For example , reading on the screen is still not as comfortable as on papers .","For example , reading on the screen is still not as comfortable as reading on paper .",Working in the field of medicine requires dedication and commitment to help the patients.,Working in the field of medicine requires dedication and commitment to help the patients.,Working in the field of medicine requires dedication and commitment to help patients.,Working in the field of medicine requires dedication and commitment to help the patients.,Working in the field of medicine requires dedication and commitment to help patients.
A very important and severe problem is the reliability and security .,A very important and severe problem is reliability and security .,The main reasons for traffic congestion and air pollution is inadequate public transportation.,The main reasons for traffic congestion and air pollution are inadequate public transportation.,The main reason for traffic congestion and air pollution is inadequate public transportation.,The main reason for traffic congestion and air pollution is inadequate public transportation.,The main reasons for traffic congestion and air pollution are inadequate public transportation.
"Till now , to completely rely on computer is still somehow not safe enough .","So far , it is still somehow not safe enough to completely rely on computers .","Until recently, to fully understand a foreign language without living in the country was considered nearly impossible.","Until recently, to fully understand a foreign language without living in the country was considered nearly impossible.","Until recently, to fully understand a foreign language without living in the country was considered nearly impossible.","Until recently, to fully understand a foreign language without living in the country was considered nearly impossible.","Until recently, fully understanding a foreign language without living in the country was considered nearly impossible."
"In conclusion , computer have become a very essential necessity of our life , and it 's still a young invention , which need to be improved .","In conclusion , computers have become a necessity in our life , and it 's still a young invention , which needs to be improved .","In summary, smartphones have transformed communication methods, and they represents a significant technological advancement that requires constant updates.","In summary, smartphones have transformed communication methods, and they represent a significant technological advancement that requires constant updates.","In summary, smartphones have transformed communication methods, and they represent a significant technological advancement that requires constant updates.","In summary, smartphones have transformed communication methods, and they represent a significant technological advancement that requires constant updates.","In summary, smartphones have transformed communication methods, and they represent a significant technological advancement that requires constant updates."
"First at all , I am sorry about Richard illness .","First at all , I am sorry about Richard 's illness .","First of all, the manager were responsible for the project completion.","First of all, the manager was responsible for the project completion.","First of all, the managers were responsible for the project completion.","First of all, the manager is responsible for the project completion.","First of all, the manager was responsible for the project completion."
"About your request , I 'm going to give you all the information that I think you must need , however you can call me if you consider it necessary , ( my phone number is 2496 9731 ) .","concerning your request , I 'm going to give you all the information that I think you will need . However , you can call me if you consider it necessary . ( My phone number is 2496 9731 . )","The conference starts at 9 AM, we should arrive early to find good seats.","The conference starts at 9 AM, we should arrive early to find good seats.",The conference starts at 9 AM; we should arrive early to find good seats.,"The conference starts at 9 AM, we should arrive early to find good seats.",The conference starts at 9 AM; we should arrive early to find good seats.
Because it is a wellkown hotel it should be easy to find it .,Because it is a well - known hotel it should be easy to find it .,"The resturant serves delicious food, so many customers visit it every week.","The restaurant serves delicious food, so many customers visit it every week.","The restaurant serves delicious food, so many customers visit it every week.","The restaurant serves delicious food, so many customers visit it every week.","The restaurant serves delicious food, so many customers visit it every week."
"Moreover , it is really well - located so it will allow you to move around the city without any problem .","Moreover , it is really well located so it will allow you to move around the city without any problem .","The new office building is situated in the heart of the downtown, making it convenient to access all services without any difficulty.","The new office building is situated in the heart of downtown, making it convenient to access all services without any difficulty.","The new office building is situated in the heart of the downtown area, making it convenient to access all services without any difficulty.","The new office building is situated in the heart of the downtown, making it convenient to access all services without any difficulty.","The new office building is situated in the heart of downtown, making it convenient to access all services without any difficulty."
"Even more the conference is going to take place in the Exhibition Centre , which is located only five minutes walking far from the Hotel .","More importantly the conference is going to take place in the Exhibition Centre , which is located only five minutes walk walking from the hotel .","Even more the restaurant is going to open in the shopping mall, which is located only ten minutes driving far from the airport.","Even more, the restaurant is going to open in the shopping mall, which is located only ten minutes driving far from the airport.","Even more, the restaurant is going to open in the shopping mall, which is located only ten minutes drive away from the airport.","Even more, the restaurant is going to open in the shopping mall, which is located only ten minutes driving distance from the airport.","Moreover, the restaurant is going to open in the shopping mall, which is located only ten minutes' driving distance from the airport."
"We haven't asked for any special clothes so I would wear casual and comfortable clothes , although you can come well - dressed , if you feel better .","We haven't asked for any special clothes so I would wear casual and comfortable clothes , although you can come well dressed , if you feel better that way .","We haven't decided on the meeting time so I would suggests that everyone arrive early and prepare their materials, although you can come late if you prefer.","We haven't decided on the meeting time so I would suggest that everyone arrive early and prepare their materials, although you can come late if you prefer.","We haven't decided on the meeting time, so I would suggest that everyone arrive early and prepare their materials, although you can come late if you prefer.","We haven't decided on the meeting time so I would suggest that everyone arrive early and prepare their materials, although you can come late if you prefer.","We haven't decided on the meeting time, so I would suggest that everyone arrive early and prepare their materials, although you can come late if you prefer."
After the conference we are going to have an informal dinner with a previous snack time in order to introduce each others .,After the conference we are going to have an informal dinner with a previous snack time in order to introduce ourselves to each other .,The two colleagues helped each themselves to find a solution to the problem.,The two colleagues helped each other to find a solution to the problem.,The two colleagues helped each other to find a solution to the problem.,The two colleagues helped each other to find a solution to the problem.,The two colleagues helped each other find a solution to the problem.
"Finally in my opinion , you should visit the Art Gallery .","Finally , in my opinion , you should visit the Art Gallery .","Clearly in the morning, the bakery opens at six o'clock sharp.","Clearly in the morning, the bakery opens at six o'clock sharp.","Clearly, in the morning, the bakery opens at six o'clock sharp.","Clearly in the morning, the bakery opens at six o'clock sharp.","In the morning, the bakery opens at six o'clock sharp."
I look forward hearing from you .,I look forward to hearing from you .,We are excited about starting our new project next month.,We are excited about starting our new project next month.,We are excited about starting our new project next month.,We are excited about starting our new project next month.,We are excited about starting our new project next month.
""" Sagrada Familia "" a real holly building .",""" Sagrada Familia "" , a real holy building .","The ""British Museum"" are real historic building in London.",The British Museum is a real historic building in London.,"The ""British Museum"" is a real historic building in London.",The British Museum is a real historic building in London.,The British Museum is a real historic building in London.
"If you are looking for a special building in Barcelona , which you can like whatever your tastes are , you should visit the "" Sagrada Familia "" .","If you are looking for a special building in Barcelona , which you will like whatever your tastes are , you should visit the "" Sagrada Familia "" .","If you are searching for a delicious restaurant in Paris, which you can like whatever your budget is, you should try the new Italian place downtown.","If you are searching for a delicious restaurant in Paris, which you can like whatever your budget is, you should try the new Italian place downtown.","If you are searching for a delicious restaurant in Paris that you can like, whatever your budget is, you should try the new Italian place downtown.","If you are searching for a delicious restaurant in Paris, which you can like whatever your budget is, you should try the new Italian place downtown.","If you are searching for a delicious restaurant in Paris that suits whatever your budget is, you should try the new Italian place downtown."
"Among the big number of choices , this unfinished church offers a gorgeous view fro the top of its towers , a charming story and one of the most representative examples of the Catalonia modernisme art .","Among the large number of choices , this unfinished church offers a gorgeous view from the top of its towers , a charming story and one of the most representative examples of Catalonian modernist art .","Among the wide variety of tourist attractions, this magnificent cathedral offers an amazing view fro the observation deck, an interesting history, and one of the most beautiful examples of Gothic architecture in Europe.","Among the wide variety of tourist attractions, this magnificent cathedral offers an amazing view from the observation deck, an interesting history, and one of the most beautiful examples of Gothic architecture in Europe.","Among the wide variety of tourist attractions, this magnificent cathedral offers an amazing view from the observation deck, an interesting history, and one of the most beautiful examples of Gothic architecture in Europe.","Among the wide variety of tourist attractions, this magnificent cathedral offers an amazing view from the observation deck, an interesting history, and one of the most beautiful examples of Gothic architecture in Europe.","Among the wide variety of tourist attractions, this magnificent cathedral offers an amazing view from the observation deck, an interesting history, and one of the most beautiful examples of Gothic architecture in Europe."
"Gaudi conceived this church n 1912 , though it was n't until 1920 they started to build it .","Gaudi conceived of this church in 1912 , though it was n't until 1920 they started to build it .","The conference was scheduled n 2019, but it got postponed until the following year.","The conference was scheduled for 2019, but it got postponed until the following year.","The conference was scheduled for in 2019, but it got postponed until the following year.","The conference was scheduled in 2019, but it got postponed until the following year.","The conference was scheduled in 2019, but it got postponed until the following year."
Since the beginning the work was interrupted in different periods and started again .,Since the beginning the work has been interrupted at different times and started again .,"During the pandemic, many businesses was forced to close their doors temporarily.","During the pandemic, many businesses were forced to close their doors temporarily.","During the pandemic, many businesses were forced to close their doors temporarily.","During the pandemic, many businesses were forced to close their doors temporarily.","During the pandemic, many businesses were forced to close their doors temporarily."
After Gaudi death it was critical stop which was fortunately solved three years later .,After Gaudi 's death it was critical stop which was fortunately solved three years later .,"Following the accident, there was urgent need repair the damaged infrastructure quickly.","Following the accident, there was urgent need repair the damaged infrastructure quickly.","Following the accident, there was an urgent need to repair the damaged infrastructure quickly.","Following the accident, there was urgent need to repair the damaged infrastructure quickly.","Following the accident, there was an urgent need to repair the damaged infrastructure quickly."
"Nowadays , a hard work is being done in order to finish as soon as possible .","Nowadays , hard work is being done in order to finish it as soon as possible .",The students need to do a homework before attending the class tomorrow.,The students need to do homework before attending the class tomorrow.,The students need to do homework before attending the class tomorrow.,Students need to do homework before attending the class tomorrow.,The students need to do homework before attending the class tomorrow.
The visitor can wonder around all the building or follow a guided visit .,The visitor can wander around the whole building or follow a guided tour .,She can either stay at home or to go to the cinema with her friends.,She can either stay at home or go to the cinema with her friends.,She can either stay at home or go to the cinema with her friends.,She can either stay at home or go to the cinema with her friends.,She can either stay at home or go to the cinema with her friends.
There is a exhibition room where maps and projects can be consulted .,There is an exhibition room where maps and plans can be consulted .,There is a university located near the city center where thousands of students studies.,There is a university located near the city center where thousands of students study.,There is a university located near the city center where thousands of students study.,There is a university located near the city center where thousands of students study.,There is a university located near the city center where thousands of students study.
"And , unless you suffer from your heart , you should climb the 350 steps which carry you to the top .","And , unless you suffer from a heart problem , you should climb the 350 steps which carry you to the top .",The students are responsible of completing their assignments before the deadline.,The students are responsible of completing their assignments before the deadline.,The students are responsible for completing their assignments before the deadline.,Students are responsible for completing their assignments before the deadline.,The students are responsible for completing their assignments before the deadline.
"There you can enjoy a terrific view , not only will you see almost all the city but also you will discover another perspective of this magnific building .",There you can enjoy a terrific view . Not only will you see almost all the city but also you will discover another perspective of this magnificent building .,"The restaurant serves excellent pasta, not only is the service friendly but also the prices are very reasonable.","The restaurant serves excellent pasta, not only is the service friendly, but also the prices are very reasonable.","The restaurant serves excellent pasta; not only is the service friendly, but also, the prices are very reasonable.","The restaurant serves excellent pasta, not only is the service friendly but also the prices are very reasonable.","The restaurant serves excellent pasta, and not only is the service friendly but also the prices are very reasonable."
As you know I am in charge for organise the conference in my college . Do not worry if Richard did not left you all the information .,"As you know , I am in charge of organising the conference in my college . Do not worry if Richard did not leave you all the information .",My colleague is responsible for to prepare the presentation for next week's meeting.,My colleague is responsible for preparing the presentation for next week's meeting.,My colleague is responsible for preparing the presentation for next week's meeting.,My colleague is responsible for preparing the presentation for next week's meeting.,My colleague is responsible for preparing the presentation for next week's meeting.
We looked in every hotel in Town trying to give you the best offerd .,"We looked at every hotel in town , trying to give you the best offer .",The resturant serves delicious food from around the world.,The restaurant serves delicious food from around the world.,The restaurant serves delicious food from around the world.,The restaurant serves delicious food from around the world.,The restaurant serves delicious food from around the world.
We found two good hotels but we decided for the Palace Hotel .,We found two good hotels and we decided on the Palace Hotel .,She insisted on going to the party despite her illness.,She insisted on going to the party despite her illness.,She insisted on going to the party despite her illness.,She insisted on going to the party despite her illness.,She insisted on going to the party despite her illness.
The conference day our school driver is going to pick you up in the hotel and take you to the conference .,On the conference day our school driver is going to pick you up at the hotel and take you to the conference .,The wedding day my parents are planning to decorate the house with flowers.,The wedding day my parents are planning to decorate the house with flowers.,"On the wedding day, my parents are planning to decorate the house with flowers.",On the wedding day my parents are planning to decorate the house with flowers.,"On the wedding day, my parents are planning to decorate the house with flowers."
